Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2001,446.74,448.67,448.25,448.72,447.64,448.53,447.8,448.08,447.33,447.47,446.35,446.5
2002,446.37,446.97,448.53,448.2,448.77,448.14,447,446.92,447.2,448.2,446.88,446.21
2003,445.69,447.62,445.89,448.6,448.83,448.57,448.81,448.81,447.05,447.2,446.96,444.52
2004,444.21,446.75,445.64,446.84,448.14,448.16,448.77,447.7,448.47,449.6,447.78,446.98
2005,446.86,449.7,446.45,448.3,448.31,448.07,447.74,447.44,446.63,447.46,448.12,447.97
2006,447.04,446.22,447.15,446.83,447.06,447.78,448.22,447.98,446.67,447.85,447.24,448.23
2007,447.71,445.97,447.06,447.53,448.56,448.3,448.35,448.28,447.77,447.28,447.65,446.77
2008,446.67,446.44,446.47,447.25,448.84,448.62,447.86,448.54,448.19,446.55,447.54,446.81
2009,446.67,446.08,446.75,448.75,448.71,448.49,448.11,448.19,447.16,448.03,447.61,447.34
2010,448.89,446.29,447.15,448.61,448.83,448.64,448.61,448.2,446.95,449.14,447.59,448.1
2011,446.4,447.29,448.06,448.54,448.68,447.73,448.22,448.13,448.28,447.97,447.32,445.69
2012,446.61,447.1,447.23,449.13,448.81,448.23,448.91,448.38,446.98,449.31,448.06,446.41
2013,448.01,448.13,447.58,448.35,448.76,448.45,448.51,449.22,446.96,447.91,448.37,445.37
2014,446.23,448.13,447.05,448.11,448.48,447.9,448.27,448.1,448.17,446.41,447.77,446.36
2015,448.22,447.38,447.89,448.09,448.5,448.89,447.99,448.3,448.04,447.88,447.57,446.92
2016,446.6,446.5,447.4,448.89,448.08,448.81,449.03,448.5,447.97,446.9,446.33,447.64
2017,447.29,448.3,447.83,448.73,448.31,448.41,448.63,448.28,447.17,446.27,447.86,446.81
2018,445.81,448.52,447.46,447.13,448.51,448.43,448,447.53,448.95,448.12,447.99,446.53
2019,446.58,447.53,447.86,447.29,448.62,448.47,448.12,447.22,449.03,447.77,449.1,448.16
2020,446.5,448.09,446.04,447.41,447.51,447.85,447.58,448.03,446.61,447.77,447.5,446.46
2021,447.88,447.56,447.28,448.04,448.51,448.55,448.23,447.51,448.49,448.37,447.05,447.33
2022,446.38,446.43,447.66,447.11,448.68,448.31,,,,,,
