Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2012,640.38,641.2,641.93,643.35,643.06,642.8,642.89,643.63,639.55,630.75,635.82,638.3
Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2013,641.2,641.78,642.06,643.87,644.24,643.45,643.66,644.35,640.23,637.86,636.95,639.57
2014,640.94,641.96,641.61,643.13,644.01,642.83,643.1,643.43,641.03,634.4,636.32,637.75
2015,642.98,641.43,642.78,643.88,643.3,643.81,642.57,642.12,639.56,635.8,636.11,638.77
2016,641.26,641.04,643.17,644.7,643.07,644.53,643.75,642,640.34,634.86,640.09,641.31
2017,643.47,642.7,643.71,642.45,643.74,643.01,644.65,642.64,639.47,636,640.07,640.71
2018,640.86,643.18,642.58,642.4,643.17,644.29,642.91,642.29,637.87,637.08,638.62,640.79
2019,641.89,643.2,642.57,642.52,643.32,642.89,643.48,642.31,638.35,638.28,642.37,640.77
2020,641.32,642.1,643.32,642.91,643.17,643.34,642.91,642.61,636.5,635.65,639.83,638.82
2021,642.71,642.63,642.69,642.37,642.32,643.33,643.31,643.54,638.04,634.42,637.48,638.32
2022,641.6,641.69,642.79,643.08,643.35,643.47,,,,,,
